,ID,NAME,CATEGORY,ADDRESS_2,ADDRESS_1,LNG,LAT,REVIEW_COUNT,STAR_MEAN
108,16061637,로얄모텔,모텔,신천동 379-4,대구 동구 신천동,128.6292661,35.8756082,53,4.08
109,1662133698,호텔슈가,모텔,신천동 321-1,대구 동구 신천동,128.6276886,35.871864,12,3.79
110,1107592001,리더스,모텔,신천동 322-6,대구 동구 신천동,128.6276144,35.8726374,14,3.5
111,1909856383,제이에스호텔,모텔,신천동 332-5,대구 동구 신천동,128.6280003,35.8741836,19,4.21
112,38495282,와와모텔,모텔,신천동 314-3,대구 동구 신천동,128.6289021,35.8693701,11,4.09
113,37525998,런던모텔,모텔,신천동 306-6,대구 동구 신천동,128.6289861,35.8679001,15,4.5
114,16061626,스위트호텔,모텔,신천동 305-2,대구 동구 신천동,128.6295964,35.8679451,28,4.16
115,36270870,레지던스알호텔,모텔,신천동  340-1,대구 동구 신천동,128.6282936,35.8704581,15,3.77
116,1139075877,미라지모텔,모텔,신천동 292-2,대구 동구 신천동,128.6266005,35.8731997,18,4.06
117,1536713028,모텔윙크,모텔,신천동 306-8,대구 동구 신천동,128.6292182,35.8679387,13,4.15
118,31699770,칸모텔,모텔,신암동 351-4,대구 동구 신암동,128.6311781,35.8816284,11,4.5
119,1098003723,무제여관,호텔,신암동 207-25,대구 동구 신암동,128.6260401,35.8799706,412,4.67
120,38495343,뉴젠모텔,모텔,신천동 332-4,대구 동구 신천동,128.6281319,35.8743978,16,4.28
121,16061651,10번가모텔,모텔,신천동 336-2,대구 동구 신천동,128.628087,35.871674,17,4.03
122,39850890,플레이22호텔,모텔,신천동  324,대구 동구 신천동,128.6271361,35.8735881,29,4.6
123,37615242,앤모텔,모텔,신천동 312-3,대구 동구 신천동,128.6287331,35.8684527,19,4.26
124,37040194,라인모텔,모텔,대현동 407-1,대구 북구 대현동,128.6090652,35.8824646,16,4.78
125,21120497,고운미피부과의원,피부과,봉산동 150-1,대구 중구 봉산동,128.5965536,35.8653103,592,4.33
126,1104164104,신경주경주시청특산품,"특산물,관광민예품",신암동 294,대구 동구 신암동,128.6287756,35.8794362,12,4.46
127,1213250330,옥연지 송해공원,근린공원,대구 달성군 옥포읍 기세리 306,대구 달성군 옥포읍,128.4808667,35.7799075,133,4.35
128,13319120,G2호텔,모텔,동천동  954-4,대구 북구 동천동,128.5571726,35.943135,29,4.33
129,659913225,아이니테마파크,테마파크,대흥동 504,대구 수성구 대흥동,128.6874434,35.8316683,6671,4.2
130,37878933,네이처파크,동물원,냉천리 27-9,대구 달성군 가창면,128.6353099,35.7873273,5094,4.46
131,16121358,컨벤션비지니스호텔,호텔,산격동 1682,대구 북구 산격동,128.6140739,35.905935,23,4.3
132,11658960,호텔수성,호텔,두산동 888-2,대구 수성구 두산동,128.6191837,35.8237939,525,4.32
133,36177967,마이더스,모텔,동천동 970-5,대구 북구 동천동,128.5556176,35.9438457,58,4.22
134,13470887,수성유원지,유원지,대구 수성구 두산동 512,대구 수성구 두산동,128.6179418,35.8292195,28,4.54
135,19838204,남평문씨본리세거지,"문화,유적",본리리 401-2,대구 달성군 화원읍,128.5181641,35.7928332,35,4.19
136,38642303,호텔인터불고 대구,호텔,만촌동 57-29,대구 수성구 만촌동,128.6597811,35.8743558,1581,4.44
137,13473883,동촌유원지,유원지,대구 동구 효목동 1314,대구 동구 효목동,128.6506578,35.8825692,22,4.02
138,31918937,퀸벨호텔,호텔,방촌동  1060-1,대구 동구 방촌동,128.661923,35.8824141,101,4.22
139,1911351779,대새목장,카페,주리 산132-28,대구 달성군 가창면,128.6071369,35.746025,230,4.21
140,12107177,화원유원지,유원지,성산리 310,대구 달성군 화원읍,128.4821611,35.8132448,217,4.39
141,21542086,호텔이시아,호텔,봉무동 1548-5,대구 동구 봉무동,128.6366913,35.9202454,44,3.91
142,755783212,엘리바덴 신월성점,"목욕탕,사우나",월성동 1828,대구 달서구 월성동,128.5257706,35.8250534,4820,4.29
143,34581415,마비정벽화마을,체험마을,본리리 1399,대구 달성군 화원읍,128.5416614,35.7786884,23,4.33
144,1696662791,호텔아싸,호텔,동천동 954-3,대구 북구 동천동,128.5572729,35.9433073,13,4.15
145,1133941182,베네치아모텔,모텔,서변동 1779-8,대구 북구 서변동,128.5990212,35.9231952,39,4.03
146,13491732,대구수목원,"식물원,수목원",대곡동 284,대구 달서구 대곡동,128.5236654,35.7989547,275,4.33
147,1374246286,갤러리호텔,모텔,산격동 1618,대구 북구 산격동,128.6087838,35.9080728,64,3.96
148,13491368,월광수변공원,"도시,테마공원",도원동 898-1,대구 달서구 도원동,128.547875,35.7988249,60,4.33
149,16037583,탑골식당,한식,용수동 14-7,대구 동구 용수동,128.6979843,35.9912201,167,4.4
150,16240562,이곡장미공원,근린공원,대구 달서구 이곡동 1306-6,대구 달서구 이곡동,128.5148617,35.8579242,21,4.52
151,1113272402,토이빌리지 대구혁신점,테마파크,대림동 888-1,대구 동구 대림동,128.7480382,35.8740689,1305,4.32
152,33239097,호텔 노스텔,호텔,동천동 910-2,대구 북구 동천동,128.5619787,35.9425735,16,4.0
153,37264287,팔공은가비,"백숙,삼계탕",미곡동 288,대구 동구 미곡동,128.6852198,35.9607876,428,4.7
154,11591736,비슬산자연휴양림,"휴양림,산림욕장",대구 달성군 유가읍 용리 산10,대구 달성군 유가읍,128.515807,35.6896219,273,4.46
155,16037578,팔공산온천관광호텔,호텔,용수동 89-16,대구 동구 용수동,128.6921371,35.990987,93,4.52
156,35966423,앞산공원전망대,전망대,대구 남구 대명동 산227-4,대구 남구 대명동,128.5871796,35.8264783,20,4.05
157,33956550,공산예원문화공원,테마공원,중대동 1111-1,대구 동구 중대동,128.6306013,35.9787558,17,4.44
158,33158778,사문진 주막촌,"도시,테마공원",대구 달성군 화원읍 성산리 744-11,대구 달성군 화원읍,128.4779643,35.8112631,2113,4.4
159,1451154454,글램호텔,모텔,동천동 897-6,대구 북구 동천동,128.5626977,35.9433001,31,4.08
160,1455409832,스위트호텔,모텔,관음동 1378-13,대구 북구 관음동,128.5481482,35.9343885,15,4.27
161,13455063,화원자연휴양림,"휴양림,산림욕장",본리리 산129,대구 달성군 화원읍,128.5355944,35.7718441,33,4.74
