field_1,wkt_geom,field_1_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"4958",Point (128.58188640000000191 35.88261250000000047),"25222","6110811726",#0d0887,"3971009.302","462260.5418","3","128.5818864","35.8826125",,,POINT (462260.5417606368 3971009.3024221966)
"4959",Point (128.58207680000001005 35.88322120000000126),"25223","6110811722",#0d0887,"3971076.742","462278.0162","4","128.5820768","35.8832212",,,POINT (462278.0162444355 3971076.7419046224)
"4960",Point (128.58139080000000831 35.88337949999999665),"25224","7105489907",#0d0887,"3971094.564","462216.1723","4","128.5813908","35.8833795",,,POINT (462216.1723394177 3971094.5644421615)
"4961",Point (128.58331659999998919 35.88296400000000119),"25225","6110811725",#0d0887,"3971047.737","462389.8003","3","128.5833166","35.882964",,,POINT (462389.80031312763 3971047.737249002)
"4962",Point (128.58219950000000154 35.88357169999999741),"25226","6110811730",#0d0887,"3971115.57","462289.2574","3","128.5821995","35.8835717",,,POINT (462289.25743732386 3971115.569703948)
"4963",Point (128.58197939999999448 35.88290990000000136),"25227","6110811728",#0d0887,"3971042.252","462269.0772","3","128.5819794","35.8829099",,,POINT (462269.0771633344 3971042.2521596863)
"4964",Point (128.58232789999999568 35.88393839999999813),"25228","6110811732",#0d0887,"3971156.192","462301.0207","3","128.5823279","35.8839384",,,POINT (462301.0206951162 3971156.1921177395)
"4965",Point (128.58344339999999306 35.88331219999999888),"25229","6110811731",#0d0887,"3971086.309","462401.41","3","128.5834434","35.8833122",,,POINT (462401.410029976 3971086.308507526)
"4966",Point (128.58321659999998587 35.88264840000000078),"25230","6110811729",#0d0887,"3971012.771","462380.6249","3","128.5832166","35.8826484",,,POINT (462380.6249289787 3971012.771468745)
"4967",Point (128.58312190000000896 35.88234860000000026),"25231","6110811727",#0d0887,"3970979.556","462371.9353","3","128.5831219","35.8823486",,,POINT (462371.9353368011 3970979.556090281)
"4968",Point (128.58313749999999231 35.88239800000000201),"25232","6356679490",#0d0887,"3970985.029","462373.3668","3","128.5831375","35.882398",,,POINT (462373.3667905064 3970985.0292056804)
"4969",Point (128.58532339999999294 35.88330390000000136),"25233","6356679499",#0d0887,"3971084.666","462571.0967","3","128.5853234","35.8833039",,,POINT (462571.096725567 3971084.6664297115)
"4974",Point (128.57823369999999841 35.89164540000000159),"25241","6110873959",#0d0887,"3972012.589","461935.1658","3","128.5782337","35.8916454",,,POINT (461935.1658224039 3972012.5891408916)
"4975",Point (128.57780890000000795 35.89149309999999815),"25242","7592224535",#0d0887,"3971995.863","461896.754","3","128.5778089","35.8914931",,,POINT (461896.7540016049 3971995.862545041)
"4976",Point (128.57825850000000401 35.8913353000000015),"25243","7592224534",#0d0887,"3971978.185","461937.2556","3","128.5782585","35.8913353",,,POINT (461937.25563678204 3971978.185188184)
"4977",Point (128.57852449999998612 35.89055890000000204),"25244","6110873962",#0d0887,"3971891.968","461960.8913","3","128.5785245","35.8905589",,,POINT (461960.89126583724 3971891.968346732)
"4978",Point (128.57503719999999703 35.8899809999999988),"25245","6110880367",#0d0887,"3971829.234","461645.8741","4","128.5750372","35.889981",,,POINT (461645.87410412676 3971829.23434226)
