field_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"14335","3812289427",#0d0887,"3968789.833255542","464441.0983898421","4","128.6061432","35.8626836",,,POINT (464441.09838984214 3968789.833255542)
"14336","4864212619",#0d0887,"3968920.871114968","464586.5596560242","3","128.6077485","35.8638703",,,POINT (464586.55965602427 3968920.871114968)
"14337","7117301043",#0d0887,"3968778.388242671","464438.0006361166","3","128.6061094","35.8625803",,,POINT (464438.0006361166 3968778.388242671)
"14396","3870699269",#0d0887,"3969978.487788367","464872.5007573813","4","128.610869","35.873416",,,POINT (464872.5007573813 3969978.487788367)
"14397","3870699263",#0d0887,"3969844.848253585","464961.3590788653","1","128.6118592","35.8722143",,,POINT (464961.3590788653 3969844.8482535845)
"14398","3870699275",#0d0887,"3969946.7273912174","464904.5479523638","3","128.6112254","35.8731308",,,POINT (464904.5479523638 3969946.7273912174)
"14399","3870699285",#0d0887,"3969988.36222259","464905.20098017575","4","128.6112308","35.8735062",,,POINT (464905.20098017575 3969988.36222259)
"14400","3870699294",#0d0887,"3970002.164319737","464845.5942494192","3","128.6105699","35.8736285",,,POINT (464845.59424941917 3970002.1643197373)
"14401","3870699274",#0d0887,"3970129.016407989","464673.6799854516","1","128.6086599","35.874766",,,POINT (464673.67998545157 3970129.0164079885)
"14402","5303789645",#0d0887,"3970114.1957839536","464688.1364280677","3","128.6088207","35.8746329",,,POINT (464688.1364280677 3970114.1957839536)
"14403","3870699278",#0d0887,"3969960.428907781","464923.1897882496","3","128.6114313","35.873255",,,POINT (464923.1897882496 3969960.4289077814)
"14404","3870699283",#0d0887,"3969827.246046525","464978.13452900527","1","128.6120458","35.8720562",,,POINT (464978.13452900527 3969827.2460465254)
"14405","3870699291",#0d0887,"3970024.535392148","464862.4199781781","3","128.6107553","35.8738308",,,POINT (464862.4199781781 3970024.5353921475)
"14406","3870699290",#0d0887,"3970132.482933606","464686.0430674978","1","128.6087967","35.8747977",,,POINT (464686.04306749784 3970132.482933606)
"14407","5303789636",#0d0887,"3970105.587629909","464735.58518996736","3","128.6093467","35.874557",,,POINT (464735.58518996736 3970105.587629909)
"14408","5303789631",#0d0887,"3970008.129166855","464837.83645545","3","128.6104837","35.873682",,,POINT (464837.83645545 3970008.1291668545)
"14409","3874205256",#0d0887,"3969242.305577256","464849.3210014988","4","128.6106447","35.8667778",,,POINT (464849.3210014988 3969242.305577256)
"14412","3874205664",#0d0887,"3969219.9146096096","464940.6867839223","4","128.6116577","35.8665792",,,POINT (464940.6867839223 3969219.9146096096)
"14413","3874205670",#0d0887,"3969207.569910463","464990.9696367294","4","128.6122152","35.8664697",,,POINT (464990.9696367294 3969207.569910463)
"14414","3874205667",#0d0887,"3969330.97828216","464981.4018120057","4","128.6121038","35.867582",,,POINT (464981.4018120057 3969330.97828216)
"14415","3874636633",#0d0887,"3969404.544647757","465063.4325732846","3","128.6130092","35.8682482",,,POINT (465063.4325732846 3969404.5446477565)
"14416","3874205669",#0d0887,"3969321.268188952","465019.0462601225","3","128.6125212","35.8674958",,,POINT (465019.0462601225 3969321.268188952)
"14417","3874205683",#0d0887,"3969089.3119338914","464715.3282966122","4","128.6091673","35.8653936",,,POINT (464715.3282966122 3969089.3119338914)
"14418","3874205678",#0d0887,"3968950.4694249","464679.1382930887","4","128.6087726","35.8641405",,,POINT (464679.13829308865 3968950.4694248997)
"14419","3874205676",#0d0887,"3968899.967408484","464665.91722528473","3","128.6086284","35.8636847",,,POINT (464665.91722528473 3968899.9674084843)
"14422","3874636656",#0d0887,"3969914.279200842","464636.4038692869","3","128.6082565","35.8728286",,,POINT (464636.40386928694 3969914.279200842)
"14423","7713250257",#0d0887,"3969874.655601793","464643.1420956389","4","128.6083329","35.8724716",,,POINT (464643.1420956389 3969874.655601793)
"14430","3874636592",#0d0887,"3969403.761038599","465070.8594642469","3","128.6130915","35.8682414",,,POINT (465070.8594642469 3969403.7610385986)
"14431","3874636621",#0d0887,"3969401.870108182","465089.0432788953","4","128.613293","35.868225",,,POINT (465089.0432788953 3969401.870108182)
"14432","3874636614",#0d0887,"3969358.768482456","465086.2817973864","3","128.6132643","35.8678363",,,POINT (465086.2817973864 3969358.768482456)
"14433","3874636601",#0d0887,"3969097.069132831","464992.87879757903","1","128.6122412","35.8654735",,,POINT (464992.87879757903 3969097.069132831)
"14434","3874636602",#0d0887,"3969214.637525752","465065.9762910832","1","128.6130457","35.8665361",,,POINT (465065.9762910832 3969214.637525752)
"14435","3874636610",#0d0887,"3969363.861486019","465111.02054146107","3","128.6135381","35.8678831",,,POINT (465111.02054146107 3969363.861486019)
"14436","3874636624",#0d0887,"3969441.266913713","465105.90069118055","3","128.613478","35.8685808",,,POINT (465105.90069118055 3969441.266913713)
"14437","3874636613",#0d0887,"3969364.666077008","465089.8621445463","3","128.6133037","35.8678896",,,POINT (465089.8621445463 3969364.666077008)
"14438","3874636616",#0d0887,"3969566.0315018552","465050.6834907766","1","128.6128609","35.8697037",,,POINT (465050.6834907766 3969566.0315018552)
"14439","3874636619",#0d0887,"3969436.789589216","465079.73818683415","4","128.6131884","35.8685395",,,POINT (465079.73818683415 3969436.7895892155)
"14440","3874636629",#0d0887,"3969734.170601303","465007.82714073645","1","128.6123788","35.8712181",,,POINT (465007.82714073645 3969734.170601303)
"14948","4639022348",#0d0887,"3971825.532106217","463061.688920814","3","128.5907242","35.8900021",,,POINT (463061.688920814 3971825.5321062165)
"14949","3969037660",#0d0887,"3972275.0138199786","462977.7973642867","3","128.5897738","35.8940514",,,POINT (462977.7973642867 3972275.0138199786)
"14950","4639142081",#0d0887,"3972274.834079824","462891.2465237095","3","128.5888148","35.8940465",,,POINT (462891.2465237095 3972274.8340798244)
"14951","5170779139",#0d0887,"3972401.863085004","462978.9435501477","3","128.5897806","35.8951951",,,POINT (462978.94355014764 3972401.8630850036)
"14952","7580082329",#0d0887,"3972259.441481726","462977.7500452845","3","128.589774","35.893911",,,POINT (462977.7500452845 3972259.441481726)
"14954","4639142689",#0d0887,"3972277.957551229","462815.9096637115","3","128.5879799","35.8940718",,,POINT (462815.9096637115 3972277.957551229)
"14956","8251053922",#0d0887,"3972573.728235058","462904.6785494034","3","128.5889497","35.8967418",,,POINT (462904.67854940344 3972573.728235058)
"15038","4629883733",#0d0887,"3964962.621570341","464642.9772496582","3","128.6085488","35.8281849",,,POINT (464642.9772496582 3964962.6215703404)
"15506","4185233893",#0d0887,"3969067.452270549","465588.84434590366","1","128.6188436","35.8652276",,,POINT (465588.84434590366 3969067.452270549)
"15507","4185233894",#0d0887,"3969028.527289329","465550.3223037229","1","128.6184186","35.8648753",,,POINT (465550.3223037229 3969028.527289329)
"15509","4185233918",#0d0887,"3969572.927363312","465360.9859377898","3","128.6162978","35.8697769",,,POINT (465360.9859377898 3969572.9273633123)
"15510","4636709563",#0d0887,"3969585.72342295","465356.2243615213","3","128.6162445","35.8698921",,,POINT (465356.22436152125 3969585.72342295)
"15511","4864256068",#0d0887,"3969571.730468249","465403.1589369138","3","128.616765","35.8697676",,,POINT (465403.1589369138 3969571.730468249)
"15512","4185233922",#0d0887,"3969743.908937895","465345.19057699305","4","128.6161154","35.8713179",,,POINT (465345.19057699305 3969743.9089378947)
"15513","4636709531",#0d0887,"3969737.77462126","465297.3834520696","3","128.6155861","35.8712609",,,POINT (465297.3834520696 3969737.77462126)
"15514","4636709547",#0d0887,"3969780.588605587","465393.2076652917","4","128.6166457","35.8716503",,,POINT (465393.20766529173 3969780.588605587)
"15515","4636709537",#0d0887,"3969642.4727143575","465346.3902369275","3","128.6161331","35.8704034",,,POINT (465346.3902369275 3969642.4727143575)
"15516","4185233943",#0d0887,"3969875.4422529913","465193.0979266932","4","128.6144249","35.8724984",,,POINT (465193.0979266932 3969875.4422529913)
"15528","4185233946",#0d0887,"3969976.1602864936","465227.7990368845","3","128.6148049","35.8734077",,,POINT (465227.79903688445 3969976.1602864936)
"15529","4636713353",#0d0887,"3969906.900874336","465147.3175483745","3","128.6139164","35.8727804",,,POINT (465147.3175483745 3969906.900874336)
"15530","4636709554",#0d0887,"3969981.7868827768","465300.2566019719","3","128.6156073","35.873461",,,POINT (465300.25660197187 3969981.7868827768)
"15980","4538696113",#0d0887,"3971975.431089439","463863.0531849375","4","128.5995963","35.8913835",,,POINT (463863.0531849375 3971975.431089439)
"15981","4538696124",#0d0887,"3972065.2616499024","463857.5818977805","3","128.5995316","35.8921932",,,POINT (463857.58189778053 3972065.2616499024)
"15982","4538696118",#0d0887,"3972046.997489627","463967.84978588735","3","128.6007542","35.8920326",,,POINT (463967.84978588735 3972046.997489627)
"15983","4538696170",#0d0887,"3971972.580027462","463895.68611764745","3","128.599958","35.891359",,,POINT (463895.68611764745 3971972.580027462)
"15984","4538696169",#0d0887,"3972074.285373935","463967.18509389367","1","128.6007456","35.8922786",,,POINT (463967.18509389367 3972074.285373935)
"15985","4538696122",#0d0887,"3972065.478372689","463877.7812589445","3","128.5997554","35.8921959",,,POINT (463877.7812589445 3972065.478372689)
"15986","4538696153",#0d0887,"3972130.4637980633","463875.0420248077","3","128.5997221","35.8927817",,,POINT (463875.0420248077 3972130.4637980633)
"15987","4538696164",#0d0887,"3972118.3177643497","463813.00733992015","3","128.5990353","35.8926699",,,POINT (463813.00733992015 3972118.3177643497)
"15999","4538696403",#0d0887,"3972115.1644828254","463778.6806525804","3","128.5986551","35.8926402",,,POINT (463778.6806525804 3972115.1644828254)
"16001","5537551012",#0d0887,"3971950.545522212","463897.3287914963","3","128.5999772","35.8911604",,,POINT (463897.3287914963 3971950.5455222116)
"16002","4538696176",#0d0887,"3971908.3069373295","463935.7845916287","3","128.6004052","35.890781",,,POINT (463935.7845916287 3971908.3069373295)
"16003","5537551007",#0d0887,"3971916.312652562","463922.8027186608","3","128.600261","35.8908527",,,POINT (463922.80271866074 3971916.312652562)
"16004","4538696184",#0d0887,"3972067.2443088186","463782.53618701495","3","128.5987","35.8922083",,,POINT (463782.53618701495 3972067.2443088186)
"16005","4538696185",#0d0887,"3972068.119508745","463801.7003489172","1","128.5989123","35.8922169",,,POINT (463801.7003489172 3972068.119508745)
"16006","4538696187",#0d0887,"3972068.657626901","463748.995202536","3","128.5983283","35.8922198",,,POINT (463748.995202536 3972068.6576269004)
"16007","4538696402",#0d0887,"3972149.892887224","463791.9909661053","1","128.598801","35.8929538",,,POINT (463791.9909661053 3972149.8928872244)
"16466","4629883729",#0d0887,"3964770.45939857","464721.6330979609","3","128.6094281","35.8264552",,,POINT (464721.63309796085 3964770.45939857)
"16467","4629883730",#0d0887,"3964972.6601703735","464728.83491368464","3","128.6094989","35.8282785",,,POINT (464728.83491368464 3964972.6601703735)
"16518","4629883788",#0d0887,"3965989.778974023","464861.6904852706","3","128.610925","35.8374536",,,POINT (464861.6904852706 3965989.7789740227)
"16519","4629883774",#0d0887,"3965816.8410959337","464636.5674427821","3","128.60844","35.8358863",,,POINT (464636.56744278205 3965816.8410959337)
"16520","4629883785",#0d0887,"3966012.753278601","464729.8239325709","4","128.6094639","35.837656",,,POINT (464729.8239325709 3966012.7532786005)
"16521","4629883778",#0d0887,"3966275.1356867994","464792.860836112","4","128.6101503","35.8400239",,,POINT (464792.860836112 3966275.1356867985)
"16522","4641981522",#0d0887,"3966272.190065453","464816.7455032294","3","128.6104149","35.8399982",,,POINT (464816.7455032294 3966272.1900654524)
"16523","4641928487",#0d0887,"3966129.8891106616","464872.0103783704","3","128.6110331","35.8387172",,,POINT (464872.0103783704 3966129.8891106616)
"18151","5538022615",#0d0887,"3972445.8425710807","463430.5153432703","3","128.5947822","35.8956086",,,POINT (463430.5153432703 3972445.8425710807)
"18153","5538022617",#0d0887,"3972405.129556458","463560.8374384569","4","128.5962281","35.8952464",,,POINT (463560.8374384569 3972405.129556458)
"18550","5971220848",#0d0887,"3967841.628789868","464891.8633471142","3","128.6111776","35.8541509",,,POINT (464891.8633471142 3967841.6287898677)
"18564","4636568938",#0d0887,"3971996.535316237","463502.8042545855","3","128.5956038","35.8915604",,,POINT (463502.8042545855 3971996.5353162372)
